timestamp,query,num_sources,response_length,success,sources
1760582736,Кто такой Сириус Блэк?,40,178,True,"/Джонатан Грин/Армагеддон/Крестовый поход на Армагеддон.txt
/Абнетт Дэн/2.Рейвенор/03. Рейвенор Отступник.txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Ник Кайм/Солнце Прометея.txt
/Абнетт Дэн/2.Рейвенор/03. Рейвенор Отступник.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Биквин/2.Пария.txt
/Абнетт Дэн/2.Рейвенор/03. Рейвенор Отступник.txt
/Сборники рассказов/Легенды Космодесанта.txt
/Макнилл Грэм/Орден Ультрамаринов/1.Несущий Ночь.txt
/Абнетт Дэн/Титаникус.txt
/Ник Кайм/Солнце Прометея.txt
/Абнетт Дэн/Призраки Гаунта/Почетная гвардия.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Каунтер Бен/Серые Рыцари/3.Молот Демонов.txt
/Абнетт Дэн/Ересь Хоруса/Не ведая страха. Битва за Калт.txt
/Каунтер Бен/Испивающие Души/02. Чаша Скорби.txt
/Митчелл Сэнди/Кайафас Каин/5.Зов Долга.txt
/Абнетт Дэн/Братья Змея.txt
/Аарон Дембски-Боуден/Имперская Гвардия/Кадианская кровь.txt
/Макнилл Грэм/Макнилл Грэм - Железный шторм.txt
/Макнилл Грэм/Ангел Экстерминатус.txt
/Рассказы/Неотредактированые/Митчелл Сэнди - Бежать или сражаться.txt
/Абнетт Дэн/Биквин/2.Пария.txt
/Каунтер Бен/Испивающие Души/2.Кровоточащая чаша.txt
/Сканлон Митчел/Сканлон Митчел - Пятнадцать часов.txt
/Джеймс Сваллоу/Кровавые Ангелы/Омнибус Кровавые ангелы 1.txt
/Ник Кайм/Солнце Прометея.txt
/Митчелл Сэнди/Кайафас Каин/6.Последнее противостояние Каина.txt
/Ник Кайм/Падение Дамноса.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Титаникус.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Митчелл Сэнди/Кайафас Каин/6.Последнее противостояние Каина.txt
/Сборники рассказов/Сборник рассказов Бойся чужаков.txt
/Макнилл Грэм/Орден Ультрамаринов/3.Черное солнце.txt
/Гото Себастьян/Себастьян Гото- Эльдарское Пророчество.txt"
1760582738,Кто такой Копатыч?,40,26,True,"/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Титаникус.txt
/Ересь Хоруса/5.Грэм Макнилл - Фулгрим.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Сборники рассказов/Имперская Истина.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Дэвид Эннендэйл/Яррик Цепи Голгофы. Дурной Глаз.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Энтони Рейнольдс/3.Энтони Рейнольдс - Темное Кредо.txt
/Кристиан Дан/Багровая заря.txt
/Митчелл Сэнди/Кайафас Каин/10.Высшее Благо.txt
/Кристиан Дан/Багровая заря.txt
/Абнетт Дэн/Титаникус.txt
/Рассказы/Неотредактированые/Митчелл Сэнди - Эхо гробницы.txt
/Аарон Дембски-Боуден/Повелители Ночи/05. Блуждающая в Пустоте .txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Ересь Хоруса/4.Сваллоу Джеймс - Полет Эйзенштейна .txt
/Каунтер Бен/Испивающие Души/02. Чаша Скорби.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 1.txt
/Сборники рассказов/Тёмный Империум.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Титаникус.txt
/Аарон Дембски-Боуден/Имперская Гвардия/Кадианская кровь.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 2.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Митчелл Сэнди/Кайафас Каин/2.Ледяные пещеры.txt
/Сборники рассказов/Тени предательства.txt
/Сборники рассказов/Сборник рассказов Галактика в огне.txt
/Гэв Торп/13 Штрафной Легион/1. 13-й Легион.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Митчелл Сэнди/Кайафас Каин/Митчелл Сэнди - Эхо гробницы.txt
/Макнилл Грэм/Макнилл Грэм - Железный шторм.txt
/Митчелл Сэнди/Кайафас Каин/4.Смерть или слава.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 3.txt
/Ересь Хоруса/3.Каунтер Бен - Галактика в огне.txt
/Уотсон Йен/Миссия инквизитора.txt"
1760582740,Кто такой Кар-Карыч?,40,209,True,"/Абнетт Дэн/Ересь Хоруса/Не ведая страха. Битва за Калт.txt
/Ересь Хоруса/10. Легенды Ереси.txt
/Сборники рассказов/Легенды Ереси.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Абнетт Дэн/Титаникус.txt
/Ересь Хоруса/3.Каунтер Бен - Галактика в огне.txt
/Ересь Хоруса/4.Сваллоу Джеймс - Полет Эйзенштейна .txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Уотсон Йен/Миссия инквизитора.txt
/Абнетт Дэн/2.Рейвенор/03. Рейвенор Отступник.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 1.txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Абнетт Дэн/Титаникус.txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Титаникус.txt
/Каунтер Бен/Серые Рыцари/2.Адепты Тьмы.txt
/Гэв Торп/Ангелы Тьмы.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 2.txt
/Джеймс Сваллоу/Кровавые Ангелы/Обагрённое Божество.txt
/Джеймс Сваллоу/Кровавые Ангелы/Омнибус Кровавые ангелы 1.txt
/Ересь Хоруса/09.Грем Макнил Механикум.txt
/Рассказы/Неотредактированые/Макнилл Грэм - Последняя церковь.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Сборники рассказов/Имперская Истина.txt
/Сканлон Митчел/Сканлон Митчел - Пятнадцать часов.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Аарон Дембски-Боуден/Повелители Ночи/04. Ядро.txt
/Митчелл Сэнди/Кайафас Каин/6.Последнее противостояние Каина.txt
/Макнилл Грэм/Макнилл Грэм - Железный шторм.txt
/Абнетт Дэн/Титаникус.txt
/Аарон Дембски-Боуден/Имперская Гвардия/Кадианская кровь.txt
/Аарон Дембски-Боуден/Имперская Гвардия/Кадианская кровь.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Сборники рассказов/Сборник рассказов Галактика в огне.txt
/Абнетт Дэн/Ересь Хоруса/Не ведая страха. Битва за Калт.txt
/Каунтер Бен/Серые Рыцари/2.Адепты Тьмы.txt
/Сара Коквел/Битвы Космодесанта/Гильдарский разлом.txt"
1760582743,Кто такой Чарли Уизли?,40,243,False,"/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Ересь Хоруса/3.Каунтер Бен - Галактика в огне.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Аарон Дембски-Боуден/Повелители Ночи/01. Ловец душ.txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Энди Чамберс/Путь Отступника.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Абнетт Дэн/2.Рейвенор/2.Возвращение Рейвенора.txt
/Ересь Хоруса/15.Дэн Аббнет- Сожжение Просперо.txt
/Ник Кайм/Падение Дамноса.txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Абнетт Дэн/Призраки Гаунта/2. Создатель Призраков.txt
/Митчелл Сэнди/Кайафас Каин/3.Игра предателя.txt
/Макнилл Грэм/Проект Каба.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Аарон Дембски-Боуден/Ересь Хоруса/Предатель.txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Макнилл Грэм/Орден Ультрамаринов/1.Несущий Ночь.txt
/Ересь Хоруса/4.Сваллоу Джеймс - Полет Эйзенштейна .txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Макнилл Грэм/Орден Ультрамаринов/1.Несущий Ночь.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Каунтер Бен/Серые Рыцари/2.Адепты Тьмы.txt
/Ересь Хоруса/11.Майк Ли - Падшие ангелы.txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Сборники рассказов/Легенды темного тысячелетия.txt
/Кинг Уильям/Космический волк/4.Кинг Волчий Клинок.txt
/Макнилл Грэм/Орден Ультрамаринов/2.Воины Ультрамара.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Макнилл Грэм/Непрощенные.txt
/Макнилл Грэм/Орден Ультрамаринов/3.Черное солнце.txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Митчелл Сэнди/Кайафас Каин/1.За Императора!.txt
/Энди Чамберс/Маска Вайла.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt"
1760582745,Кто такой Лунтик?,40,155,True,"/Абнетт Дэн/Титаникус.txt
/Сканлон Митчел/Сканлон Митчел - Пятнадцать часов.txt
/Кинг Уильям/Космический волк/4.Кинг Волчий Клинок.txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Макнилл Грэм/Макнилл Грэм - Железный шторм.txt
/Каунтер Бен/Серые Рыцари/1.Серые Рыцари.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Ересь Хоруса/09.Грем Макнил Механикум.txt
/Абнетт Дэн/Титаникус.txt
/Ересь Хоруса/3.Каунтер Бен - Галактика в огне.txt
/Митчелл Сэнди/Кайафас Каин/2.Ледяные пещеры.txt
/Энтони Рейнольдс/1.Энтони Рейнольдс - Темный Апостол.txt
/Ересь Хоруса/09.Грем Макнил Механикум.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Аарон Дембски-Боуден/Ересь Хоруса/Предатель.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Аарон Дембски-Боуден/Битвы Космодесанта/Хельсрич.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 1.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Сборники рассказов/Сборник рассказов Галактика в огне.txt
/Митчелл Сэнди/Кайафас Каин/10.Высшее Благо.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Ересь Хоруса/20. Гэв Топ Потерянное Освобождение.txt
/Каунтер Бен/Серые Рыцари/2.Адепты Тьмы.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Каунтер Бен/Серые Рыцари/1.Серые Рыцари.txt
/Уотсон Йен/Инквизиторы космоса.txt
/Джеймс Сваллоу/Вера и Пламя.txt
/Абнетт Дэн/Призраки Гаунта/2. Создатель Призраков.txt
/Джеймс Сваллоу/Кровавые Ангелы/Омнибус Кровавые ангелы 1.txt"
1760582750,Кто такой Гэндальф?,40,1088,False,"/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Джеймс Сваллоу/Кровавые Ангелы/Омнибус Кровавые ангелы 1.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Джеймс Сваллоу/Кровавые Ангелы/Обагрённое Божество.txt
/Джеймс Сваллоу/Кровавые Ангелы/Омнибус Кровавые ангелы 1.txt
/Ересь Хоруса/21. Не ведая страха.txt
/Аарон Дембски-Боуден/Ересь Хоруса/Аврелиан.txt
/Ересь Хоруса/18. АДБ Аврелиан.txt
/Уотсон Йен/Инквизиторы космоса.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Кинг Уильям/Космический волк/06. Лайтер Ли Честь Волка.txt
/Крис Райт/Битва за Клык.txt
/Ересь Хоруса/8. Бен Каунтер Битва за Бездну.txt
/Ересь Хоруса/4.Сваллоу Джеймс - Полет Эйзенштейна .txt
/Брайан Крэйг/Пешки Хаоса.txt
/Абнетт Дэн/Призраки Гаунта/1.Первый и единственный.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Митчелл Сэнди/Кайафас Каин/5.Зов Долга.txt
/Ересь Хоруса/7.Абнетт Дэн - Легион.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Ересь Хоруса/10. Легенды Ереси.txt
/Сборники рассказов/Легенды Ереси.txt
/Гэв Торп/13 Штрафной Легион/1. 13-й Легион.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Аарон Дембски-Боуден/Серые рыцари/Дар Императора.txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Уотсон Йен/Инквизиторы космоса.txt
/Джеймс Сваллоу/Кровавые Ангелы/Обагрённое Божество.txt
/Джеймс Сваллоу/Кровавые Ангелы/Омнибус Кровавые ангелы 1.txt
/Сборники рассказов/Сборник рассказов Галактика в огне.txt
/Абнетт Дэн/Титаникус.txt
/Ересь Хоруса/20. Гэв Топ Потерянное Освобождение.txt"
1760582753,Кто такой Черепашки-Ниндзя?,40,370,False,"/Аарон Дембски-Боуден/Повелители Ночи/01. Ловец душ.txt
/Джонатан Грин/Армагеддон/Крестовый поход на Армагеддон.txt
/Ересь Хоруса/09.Грем Макнил Механикум.txt
/Сборники рассказов/Легенды Космодесанта.txt
/Аарон Дембски-Боуден/Повелители Ночи/02. Кровавый Грабитель.txt
/Аарон Дембски-Боуден/Повелители Ночи/01. Ловец душ.txt
/Кристиан Дан/Багровая заря.txt
/Джонатан Грин/Армагеддон/Крестовый поход на Армагеддон.txt
/Кинг Уильям/Космический волк/5.Лайтнер Ли - Сыны Фенриса.txt
/Каунтер Бен/Испивающие Души/2.Кровоточащая чаша.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt
/Митчелл Сэнди/Кайафас Каин/12.Старые вояки никогда не умирают.txt
/Аарон Дембски-Боуден/Битвы Космодесанта/Хельсрич.txt
/Джонатан Грин/Армагеддон/Крестовый поход на Армагеддон.txt
/Митчелл Сэнди/Кайафас Каин/3.Игра предателя.txt
/Макнилл Грэм/Орден Ультрамаринов/3.Черное солнце.txt
/Ересь Хоруса/8. Бен Каунтер Битва за Бездну.txt
/Сборники рассказов/Легенды Космодесанта.txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Ересь Хоруса/19. Эпоха тьмы.txt
/Макнилл Грэм/Проект Каба.txt
/Ересь Хоруса/12.Грэм Макнилл-Тысяча сынов.txt
/Абнетт Дэн/Абнетт Дэн_Чума(Warhammer 40000 Остальное-0).txt
/Сборники рассказов/Сборник рассказов Галактика в огне.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Ересь Хоруса/5.Грэм Макнилл - Фулгрим.txt
/Аарон Дембски-Боуден/Повелители Ночи/01. Ловец душ.txt
/Аарон Дембски-Боуден/Повелители Ночи/05. Блуждающая в Пустоте .txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt
/Энтони Рейнольдс/1.Энтони Рейнольдс - Темный Апостол.txt
/Ересь Хоруса/8. Бен Каунтер Битва за Бездну.txt
/Джонатан Грин/Армагеддон/Убежище.txt
/Ересь Хоруса/19. Эпоха тьмы.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Энтони Рейнольдс/2.Энтони Рейнольдс Темный Ученик.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Сара Коквел/Битвы Космодесанта/Гильдарский разлом.txt"
1760582756,Кто такой эльдар?,40,496,False,"/Каунтер Бен/Испивающие Души/3.Алые слезы.txt
/Ренни Гордон/Лорд Солар Махариус/2.Перекрёсток Судеб.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Макнилл Грэм/Ангел Экстерминатус.txt
/Ник Кайм/Солнце Прометея.txt
/Сборники рассказов/Легенды Космодесанта.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Макнилл Грэм/Волк пепла и пламени.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 1.txt
/Ересь Хоруса/21. Не ведая страха.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Макнилл Грэм/Ангел Экстерминатус.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Абнетт Дэн/Титаникус.txt
/Джонатан Грин/Армагеддон/Крестовый поход на Армагеддон.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Отдельные романы Эйзенхорн/2.Ордо Маллеус.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Сара Коквел/Битвы Космодесанта/Гильдарский разлом.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Джонатан Грин/Армагеддон/Крестовый поход на Армагеддон.txt
/Абнетт Дэн/2.Рейвенор/03. Рейвенор Отступник.txt
/Сборники рассказов/Тёмный Империум.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Митчелл Сэнди/Кайафас Каин/5.Зов Долга.txt
/Каунтер Бен/Серые Рыцари/3.Молот Демонов.txt
/Мэттью Фаррер/Шира Кальпурния/Перекрестный огонь.txt
/Абнетт Дэн/Биквин/2.Пария.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Сборники рассказов/Тени предательства.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Каунтер Бен/Испивающие Души/3.Алые слезы.txt
/Каунтер Бен/Испивающие Души/1.Испивающие Души.txt"
1760582758,Кто такой космодесантник?,40,133,False,"/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Джон Френч/Ариман-Изгнанник.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Отдельные романы Эйзенхорн/1.Ордо Ксенос.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Уотсон Йен/Миссия инквизитора.txt
/Гэв Торп/13 Штрафной Легион/1. 13-й Легион.txt
/Абнетт Дэн/Титаникус.txt
/Каунтер Бен/Испивающие Души/02. Чаша Скорби.txt
/Кинг Уильям/Космический волк/06. Лайтер Ли Честь Волка.txt
/Сара Коквел/Битвы Космодесанта/Гильдарский разлом.txt
/Аарон Дембски-Боуден/Ересь Хоруса/Предатель.txt
/Абнетт Дэн/Титаникус.txt
/Абнетт Дэн/2.Рейвенор/1.Рейвенор.txt
/Ересь Хоруса/3.Каунтер Бен - Галактика в огне.txt
/Абнетт Дэн/Титаникус.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 2.txt
/Митчелл Сэнди/Кайафас Каин/6.Последнее противостояние Каина.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Сборники рассказов/Легенды Космодесанта.txt
/Сборники рассказов/Легенды темного тысячелетия.txt
/Макнилл Грэм/Ангел Экстерминатус.txt
/Кинг Уильям/Космический волк/4.Кинг Волчий Клинок.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Аарон Дембски-Боуден/Повелители Ночи/01. Ловец душ.txt
/Ересь Хоруса/11.Майк Ли - Падшие ангелы.txt
/Джон Френч/Ариман-Изгнанник.txt
/Гэв Торп/Ангелы Тьмы.txt
/Ересь Хоруса/4.Сваллоу Джеймс - Полет Эйзенштейна .txt
/Митчелл Сэнди/Кайафас Каин/4.Смерть или слава.txt
/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Джеймс Сваллоу/Кровавые Ангелы/Черная волна.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Сборники рассказов/Тёмный Империум.txt
/Ересь Хоруса/4.Сваллоу Джеймс - Полет Эйзенштейна .txt
/Макнилл Грэм/Макнилл Грэм - Железный шторм.txt
/Кристиан Дан/Багровая заря.txt
/Джеймс Сваллоу/Где Ангел не решится сделать шаг.txt"
1760582762,Кто такой лидер?,40,624,False,"/Ересь Хоруса/13.Джеймс Сваллоу-Немезида.txt
/Абнетт Дэн/1.Эйзенхорн/Отдельные романы Эйзенхорн/1.Ордо Ксенос.txt
/Ересь Хоруса/3.Каунтер Бен - Галактика в огне.txt
/Аарон Дембски-Боуден/Повелители Ночи/06. Разведчик Пустоты.txt
/Ересь Хоруса/09.Грем Макнил Механикум.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Крис Райт/Битва за Клык.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Абнетт Дэн/Титаникус.txt
/Уотсон Йен/Инквизиторы космоса.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Митчелл Сэнди/Кайафас Каин/2.Ледяные пещеры.txt
/Ересь Хоруса/21. Не ведая страха.txt
/Каунтер Бен/Испивающие Души/2.Кровоточащая чаша.txt
/Аарон Дембски-Боуден/Ересь Хоруса/Предатель.txt
/Абнетт Дэн/Абнетт Дэн_Двуглавый орел(Warhammer 40000 Остальное-0).txt
/Макнилл Грэм/Макнилл Грэм - Железный шторм.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Ересь Хоруса/2.Макнилл Грэм - Лживые боги.txt
/Каунтер Бен/Испивающие Души/1.Испивающие Души.txt
/Сборники рассказов/Сборник рассказов Галактика в огне.txt
/Аарон Дембски-Боуден/Повелители Ночи/01. Ловец душ.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/2.Рейвенор/03. Рейвенор Отступник.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Ересь Хоруса/1.Абнетт Дэн - Возвышение Хоруса.txt
/Ересь Хоруса/Аудиокниги(тестовки)/Френч Серый Ангел.txt
/Энтони Рейнольдс/3.Энтони Рейнольдс - Темное Кредо.txt
/Каунтер Бен/Испивающие Души/02. Чаша Скорби.txt
/Каунтер Бен/Испивающие Души/1.Испивающие Души.txt
/Аарон Дембски-Боуден/Ересь Хоруса/Предатель.txt
/Абнетт Дэн/2.Рейвенор/Дэн Абнет-Рейвенор Отступник (Фантастика,Warhammer40k)2010.txt
/Каунтер Бен/Битвы Космодесанта/Архитектор Судьбы.txt
/Абнетт Дэн/1.Эйзенхорн/Инквизитор Эйзенхорн.txt
/Абнетт Дэн/1.Эйзенхорн/Отдельные романы Эйзенхорн/1.Ордо Ксенос.txt
/Стив Лайонс/Ледяная гвардия.txt
/Книги не вошедшие в циклы/Падение ангела воскресения 1.txt
/Ересь Хоруса/17. Грем Макнил Отвергнутые Мертвецы.txt"
